Train Epoch: 1, Test set: Average loss: 1.9983, Accuracy: 2870/10000 (28.700%)
Train Epoch: 2, Test set: Average loss: 1.9857, Accuracy: 2885/10000 (28.850%)
Train Epoch: 3, Test set: Average loss: 2.0128, Accuracy: 2883/10000 (28.830%)
Train Epoch: 4, Test set: Average loss: 1.9821, Accuracy: 2897/10000 (28.970%)
Train Epoch: 5, Test set: Average loss: 1.9653, Accuracy: 2899/10000 (28.990%)
Train Epoch: 6, Test set: Average loss: 1.9786, Accuracy: 2899/10000 (28.990%)
Train Epoch: 7, Test set: Average loss: 1.9693, Accuracy: 2901/10000 (29.010%)
Train Epoch: 8, Test set: Average loss: 1.9590, Accuracy: 2900/10000 (29.000%)
Train Epoch: 9, Test set: Average loss: 1.9647, Accuracy: 2908/10000 (29.080%)
Train Epoch: 10, Test set: Average loss: 1.9555, Accuracy: 2906/10000 (29.060%)
Train Epoch: 11, Test set: Average loss: 1.9584, Accuracy: 2906/10000 (29.060%)
Train Epoch: 12, Test set: Average loss: 1.9364, Accuracy: 2906/10000 (29.060%)
Train Epoch: 13, Test set: Average loss: 1.9457, Accuracy: 2909/10000 (29.090%)
Train Epoch: 14, Test set: Average loss: 1.9691, Accuracy: 2908/10000 (29.080%)
Train Epoch: 15, Test set: Average loss: 1.9429, Accuracy: 2910/10000 (29.100%)
Train Epoch: 16, Test set: Average loss: 1.9528, Accuracy: 2912/10000 (29.120%)
Train Epoch: 17, Test set: Average loss: 1.9492, Accuracy: 2908/10000 (29.080%)
Train Epoch: 18, Test set: Average loss: 1.9552, Accuracy: 2913/10000 (29.130%)
Train Epoch: 19, Test set: Average loss: 1.9432, Accuracy: 2910/10000 (29.100%)
Train Epoch: 20, Test set: Average loss: 1.9443, Accuracy: 2910/10000 (29.100%)
Train Epoch: 21, Test set: Average loss: 1.9449, Accuracy: 2911/10000 (29.110%)
Train Epoch: 22, Test set: Average loss: 1.9440, Accuracy: 2913/10000 (29.130%)
Train Epoch: 23, Test set: Average loss: 1.9532, Accuracy: 2911/10000 (29.110%)
Train Epoch: 24, Test set: Average loss: 1.9522, Accuracy: 2911/10000 (29.110%)
Train Epoch: 25, Test set: Average loss: 1.9574, Accuracy: 2914/10000 (29.140%)
Train Epoch: 26, Test set: Average loss: 1.9519, Accuracy: 2913/10000 (29.130%)
Train Epoch: 27, Test set: Average loss: 1.9362, Accuracy: 2912/10000 (29.120%)
Train Epoch: 28, Test set: Average loss: 1.9429, Accuracy: 2917/10000 (29.170%)
Train Epoch: 29, Test set: Average loss: 1.9369, Accuracy: 2916/10000 (29.160%)
Train Epoch: 30, Test set: Average loss: 1.9432, Accuracy: 2913/10000 (29.130%)
Train Epoch: 31, Test set: Average loss: 1.9399, Accuracy: 2916/10000 (29.160%)
Train Epoch: 32, Test set: Average loss: 1.9408, Accuracy: 2912/10000 (29.120%)
Train Epoch: 33, Test set: Average loss: 1.9322, Accuracy: 2915/10000 (29.150%)
Train Epoch: 34, Test set: Average loss: 1.9370, Accuracy: 2916/10000 (29.160%)
Train Epoch: 35, Test set: Average loss: 1.9501, Accuracy: 2917/10000 (29.170%)
Train Epoch: 36, Test set: Average loss: 1.9373, Accuracy: 2916/10000 (29.160%)
Train Epoch: 37, Test set: Average loss: 1.9509, Accuracy: 2918/10000 (29.180%)
Train Epoch: 38, Test set: Average loss: 1.9502, Accuracy: 2917/10000 (29.170%)
Train Epoch: 39, Test set: Average loss: 1.9290, Accuracy: 2918/10000 (29.180%)
Train Epoch: 40, Test set: Average loss: 1.9493, Accuracy: 2914/10000 (29.140%)
Train Epoch: 41, Test set: Average loss: 1.9296, Accuracy: 2921/10000 (29.210%)
Train Epoch: 42, Test set: Average loss: 1.9445, Accuracy: 2913/10000 (29.130%)
Train Epoch: 43, Test set: Average loss: 1.9532, Accuracy: 2916/10000 (29.160%)
Train Epoch: 44, Test set: Average loss: 1.9395, Accuracy: 2916/10000 (29.160%)
Train Epoch: 45, Test set: Average loss: 1.9343, Accuracy: 2918/10000 (29.180%)
Train Epoch: 46, Test set: Average loss: 1.9521, Accuracy: 2914/10000 (29.140%)
Train Epoch: 47, Test set: Average loss: 1.9356, Accuracy: 2919/10000 (29.190%)
Train Epoch: 48, Test set: Average loss: 1.9354, Accuracy: 2915/10000 (29.150%)
Train Epoch: 49, Test set: Average loss: 1.9390, Accuracy: 2915/10000 (29.150%)
Train Epoch: 50, Test set: Average loss: 1.9539, Accuracy: 2919/10000 (29.190%)
Train Epoch: 51, Test set: Average loss: 1.9327, Accuracy: 2916/10000 (29.160%)
Train Epoch: 52, Test set: Average loss: 1.9313, Accuracy: 2923/10000 (29.230%)
Train Epoch: 53, Test set: Average loss: 1.9366, Accuracy: 2916/10000 (29.160%)
Train Epoch: 54, Test set: Average loss: 1.9480, Accuracy: 2918/10000 (29.180%)
Train Epoch: 55, Test set: Average loss: 1.9465, Accuracy: 2916/10000 (29.160%)
Train Epoch: 56, Test set: Average loss: 1.9489, Accuracy: 2923/10000 (29.230%)
Train Epoch: 57, Test set: Average loss: 1.9397, Accuracy: 2922/10000 (29.220%)
Train Epoch: 58, Test set: Average loss: 1.9454, Accuracy: 2918/10000 (29.180%)
Train Epoch: 59, Test set: Average loss: 1.9350, Accuracy: 2917/10000 (29.170%)
Train Epoch: 60, Test set: Average loss: 1.9227, Accuracy: 2925/10000 (29.250%)
Train Epoch: 61, Test set: Average loss: 1.9407, Accuracy: 2919/10000 (29.190%)
Train Epoch: 62, Test set: Average loss: 1.9284, Accuracy: 2919/10000 (29.190%)
Train Epoch: 63, Test set: Average loss: 1.9350, Accuracy: 2921/10000 (29.210%)
Train Epoch: 64, Test set: Average loss: 1.9323, Accuracy: 2925/10000 (29.250%)
Train Epoch: 65, Test set: Average loss: 1.8329, Accuracy: 3685/10000 (36.850%)
Train Epoch: 66, Test set: Average loss: 1.8222, Accuracy: 3705/10000 (37.050%)
Train Epoch: 67, Test set: Average loss: 1.8073, Accuracy: 3646/10000 (36.460%)
Train Epoch: 68, Test set: Average loss: 1.7996, Accuracy: 3642/10000 (36.420%)
Train Epoch: 69, Test set: Average loss: 1.8200, Accuracy: 3714/10000 (37.140%)
Train Epoch: 70, Test set: Average loss: 1.7888, Accuracy: 3699/10000 (36.990%)
Train Epoch: 71, Test set: Average loss: 1.7929, Accuracy: 3693/10000 (36.930%)
Train Epoch: 72, Test set: Average loss: 1.7978, Accuracy: 3720/10000 (37.200%)
Train Epoch: 73, Test set: Average loss: 1.8096, Accuracy: 3727/10000 (37.270%)
Train Epoch: 74, Test set: Average loss: 1.8117, Accuracy: 3734/10000 (37.340%)
Train Epoch: 75, Test set: Average loss: 1.7908, Accuracy: 3714/10000 (37.140%)
Train Epoch: 76, Test set: Average loss: 1.8017, Accuracy: 3744/10000 (37.440%)
Train Epoch: 77, Test set: Average loss: 1.7893, Accuracy: 3731/10000 (37.310%)
Train Epoch: 78, Test set: Average loss: 1.8154, Accuracy: 3745/10000 (37.450%)
Train Epoch: 79, Test set: Average loss: 1.7819, Accuracy: 3728/10000 (37.280%)
Train Epoch: 80, Test set: Average loss: 1.7916, Accuracy: 3737/10000 (37.370%)
Train Epoch: 81, Test set: Average loss: 1.8043, Accuracy: 3737/10000 (37.370%)
Train Epoch: 82, Test set: Average loss: 1.7791, Accuracy: 3730/10000 (37.300%)
Train Epoch: 83, Test set: Average loss: 1.8241, Accuracy: 3760/10000 (37.600%)
Train Epoch: 84, Test set: Average loss: 1.7941, Accuracy: 3738/10000 (37.380%)
Train Epoch: 85, Test set: Average loss: 1.8038, Accuracy: 3762/10000 (37.620%)
Train Epoch: 86, Test set: Average loss: 1.7902, Accuracy: 3761/10000 (37.610%)
Train Epoch: 87, Test set: Average loss: 1.7819, Accuracy: 3739/10000 (37.390%)
Train Epoch: 88, Test set: Average loss: 1.7750, Accuracy: 3735/10000 (37.350%)
Train Epoch: 89, Test set: Average loss: 1.7905, Accuracy: 3730/10000 (37.300%)
Train Epoch: 90, Test set: Average loss: 1.7760, Accuracy: 3739/10000 (37.390%)
Train Epoch: 91, Test set: Average loss: 1.7831, Accuracy: 3738/10000 (37.380%)
Train Epoch: 92, Test set: Average loss: 1.7940, Accuracy: 3782/10000 (37.820%)
Train Epoch: 93, Test set: Average loss: 1.7769, Accuracy: 3743/10000 (37.430%)
Train Epoch: 94, Test set: Average loss: 1.7855, Accuracy: 3759/10000 (37.590%)
Train Epoch: 95, Test set: Average loss: 1.7896, Accuracy: 3765/10000 (37.650%)
Train Epoch: 96, Test set: Average loss: 1.8040, Accuracy: 3767/10000 (37.670%)
Train Epoch: 97, Test set: Average loss: 1.7909, Accuracy: 3767/10000 (37.670%)
Train Epoch: 98, Test set: Average loss: 1.7888, Accuracy: 3765/10000 (37.650%)
Train Epoch: 99, Test set: Average loss: 1.8199, Accuracy: 3775/10000 (37.750%)
Train Epoch: 100, Test set: Average loss: 1.7913, Accuracy: 3767/10000 (37.670%)
Train Epoch: 101, Test set: Average loss: 1.7844, Accuracy: 3736/10000 (37.360%)
Train Epoch: 102, Test set: Average loss: 1.7722, Accuracy: 3765/10000 (37.650%)
Train Epoch: 103, Test set: Average loss: 1.7846, Accuracy: 3725/10000 (37.250%)
Train Epoch: 104, Test set: Average loss: 1.7815, Accuracy: 3762/10000 (37.620%)
Train Epoch: 105, Test set: Average loss: 1.7765, Accuracy: 3748/10000 (37.480%)
Train Epoch: 106, Test set: Average loss: 1.7800, Accuracy: 3752/10000 (37.520%)
Train Epoch: 107, Test set: Average loss: 1.7832, Accuracy: 3742/10000 (37.420%)
Train Epoch: 108, Test set: Average loss: 1.7855, Accuracy: 3737/10000 (37.370%)
Train Epoch: 109, Test set: Average loss: 1.7789, Accuracy: 3739/10000 (37.390%)
Train Epoch: 110, Test set: Average loss: 1.7747, Accuracy: 3738/10000 (37.380%)
Train Epoch: 111, Test set: Average loss: 1.7784, Accuracy: 3757/10000 (37.570%)
Train Epoch: 112, Test set: Average loss: 1.7888, Accuracy: 3757/10000 (37.570%)
Train Epoch: 113, Test set: Average loss: 1.7876, Accuracy: 3750/10000 (37.500%)
Train Epoch: 114, Test set: Average loss: 1.7830, Accuracy: 3751/10000 (37.510%)
Train Epoch: 115, Test set: Average loss: 1.7647, Accuracy: 3718/10000 (37.180%)
Train Epoch: 116, Test set: Average loss: 1.7897, Accuracy: 3766/10000 (37.660%)
Train Epoch: 117, Test set: Average loss: 1.7782, Accuracy: 3766/10000 (37.660%)
Train Epoch: 118, Test set: Average loss: 1.7847, Accuracy: 3766/10000 (37.660%)
Train Epoch: 119, Test set: Average loss: 1.7784, Accuracy: 3761/10000 (37.610%)
Train Epoch: 120, Test set: Average loss: 1.7857, Accuracy: 3768/10000 (37.680%)
Train Epoch: 121, Test set: Average loss: 1.7874, Accuracy: 3747/10000 (37.470%)
Train Epoch: 122, Test set: Average loss: 1.7912, Accuracy: 3746/10000 (37.460%)
Train Epoch: 123, Test set: Average loss: 1.7841, Accuracy: 3748/10000 (37.480%)
Train Epoch: 124, Test set: Average loss: 1.7943, Accuracy: 3777/10000 (37.770%)
Train Epoch: 125, Test set: Average loss: 1.7766, Accuracy: 3743/10000 (37.430%)
Train Epoch: 126, Test set: Average loss: 1.7902, Accuracy: 3760/10000 (37.600%)
Train Epoch: 127, Test set: Average loss: 1.7846, Accuracy: 3777/10000 (37.770%)
Train Epoch: 128, Test set: Average loss: 1.7817, Accuracy: 3754/10000 (37.540%)
Train Epoch: 129, Test set: Average loss: 1.7889, Accuracy: 3782/10000 (37.820%)
Train Epoch: 130, Test set: Average loss: 1.7843, Accuracy: 3733/10000 (37.330%)
Train Epoch: 131, Test set: Average loss: 1.7794, Accuracy: 3744/10000 (37.440%)
Train Epoch: 132, Test set: Average loss: 1.7766, Accuracy: 3750/10000 (37.500%)
Train Epoch: 133, Test set: Average loss: 1.7787, Accuracy: 3753/10000 (37.530%)
Train Epoch: 134, Test set: Average loss: 1.7875, Accuracy: 3764/10000 (37.640%)
Train Epoch: 135, Test set: Average loss: 1.7741, Accuracy: 3729/10000 (37.290%)
Train Epoch: 136, Test set: Average loss: 1.7788, Accuracy: 3745/10000 (37.450%)
Train Epoch: 137, Test set: Average loss: 1.7792, Accuracy: 3753/10000 (37.530%)
Train Epoch: 138, Test set: Average loss: 1.7800, Accuracy: 3781/10000 (37.810%)
Train Epoch: 139, Test set: Average loss: 1.7870, Accuracy: 3768/10000 (37.680%)
Train Epoch: 140, Test set: Average loss: 1.7727, Accuracy: 3742/10000 (37.420%)
Train Epoch: 141, Test set: Average loss: 1.7696, Accuracy: 3758/10000 (37.580%)
Train Epoch: 142, Test set: Average loss: 1.7724, Accuracy: 3746/10000 (37.460%)
Train Epoch: 143, Test set: Average loss: 1.7939, Accuracy: 3766/10000 (37.660%)
Train Epoch: 144, Test set: Average loss: 1.7847, Accuracy: 3742/10000 (37.420%)
Train Epoch: 145, Test set: Average loss: 1.8055, Accuracy: 3780/10000 (37.800%)
Train Epoch: 146, Test set: Average loss: 1.7814, Accuracy: 3773/10000 (37.730%)
Train Epoch: 147, Test set: Average loss: 1.7857, Accuracy: 3775/10000 (37.750%)
Train Epoch: 148, Test set: Average loss: 1.7913, Accuracy: 3785/10000 (37.850%)
Train Epoch: 149, Test set: Average loss: 1.7824, Accuracy: 3787/10000 (37.870%)
Train Epoch: 150, Test set: Average loss: 1.7875, Accuracy: 3779/10000 (37.790%)
Train Epoch: 151, Test set: Average loss: 1.7801, Accuracy: 3771/10000 (37.710%)
Train Epoch: 152, Test set: Average loss: 1.7846, Accuracy: 3768/10000 (37.680%)
Train Epoch: 153, Test set: Average loss: 1.7818, Accuracy: 3765/10000 (37.650%)
Train Epoch: 154, Test set: Average loss: 1.7806, Accuracy: 3757/10000 (37.570%)
Train Epoch: 155, Test set: Average loss: 1.7751, Accuracy: 3752/10000 (37.520%)
Train Epoch: 156, Test set: Average loss: 1.7760, Accuracy: 3752/10000 (37.520%)
Train Epoch: 157, Test set: Average loss: 1.7765, Accuracy: 3764/10000 (37.640%)
Train Epoch: 158, Test set: Average loss: 1.7777, Accuracy: 3760/10000 (37.600%)
Train Epoch: 159, Test set: Average loss: 1.7787, Accuracy: 3749/10000 (37.490%)
Train Epoch: 160, Test set: Average loss: 1.7835, Accuracy: 3769/10000 (37.690%)
Train Epoch: 161, Test set: Average loss: 1.7830, Accuracy: 3766/10000 (37.660%)
Train Epoch: 162, Test set: Average loss: 1.7808, Accuracy: 3760/10000 (37.600%)
Train Epoch: 163, Test set: Average loss: 1.7829, Accuracy: 3766/10000 (37.660%)
Train Epoch: 164, Test set: Average loss: 1.7826, Accuracy: 3756/10000 (37.560%)
Train Epoch: 165, Test set: Average loss: 1.7810, Accuracy: 3764/10000 (37.640%)
Train Epoch: 166, Test set: Average loss: 1.7829, Accuracy: 3765/10000 (37.650%)
Train Epoch: 167, Test set: Average loss: 1.7830, Accuracy: 3769/10000 (37.690%)
Train Epoch: 168, Test set: Average loss: 1.7860, Accuracy: 3768/10000 (37.680%)
Train Epoch: 169, Test set: Average loss: 1.7854, Accuracy: 3769/10000 (37.690%)
Train Epoch: 170, Test set: Average loss: 1.7837, Accuracy: 3779/10000 (37.790%)
Train Epoch: 171, Test set: Average loss: 1.7825, Accuracy: 3769/10000 (37.690%)
Train Epoch: 172, Test set: Average loss: 1.7781, Accuracy: 3760/10000 (37.600%)
Train Epoch: 173, Test set: Average loss: 1.7805, Accuracy: 3764/10000 (37.640%)
Train Epoch: 174, Test set: Average loss: 1.7782, Accuracy: 3757/10000 (37.570%)
Train Epoch: 175, Test set: Average loss: 1.7810, Accuracy: 3757/10000 (37.570%)
Train Epoch: 176, Test set: Average loss: 1.7790, Accuracy: 3755/10000 (37.550%)
Train Epoch: 177, Test set: Average loss: 1.7763, Accuracy: 3750/10000 (37.500%)
Train Epoch: 178, Test set: Average loss: 1.7835, Accuracy: 3765/10000 (37.650%)
Train Epoch: 179, Test set: Average loss: 1.7779, Accuracy: 3755/10000 (37.550%)
Train Epoch: 180, Test set: Average loss: 1.7890, Accuracy: 3783/10000 (37.830%)
Train Epoch: 181, Test set: Average loss: 1.7826, Accuracy: 3768/10000 (37.680%)
Train Epoch: 182, Test set: Average loss: 1.7852, Accuracy: 3781/10000 (37.810%)
Train Epoch: 183, Test set: Average loss: 1.7807, Accuracy: 3768/10000 (37.680%)
Train Epoch: 184, Test set: Average loss: 1.7780, Accuracy: 3760/10000 (37.600%)
Train Epoch: 185, Test set: Average loss: 1.7869, Accuracy: 3781/10000 (37.810%)
Train Epoch: 186, Test set: Average loss: 1.7841, Accuracy: 3761/10000 (37.610%)
Train Epoch: 187, Test set: Average loss: 1.7804, Accuracy: 3766/10000 (37.660%)
Train Epoch: 188, Test set: Average loss: 1.7876, Accuracy: 3768/10000 (37.680%)
Train Epoch: 189, Test set: Average loss: 1.7774, Accuracy: 3761/10000 (37.610%)
Train Epoch: 190, Test set: Average loss: 1.7802, Accuracy: 3764/10000 (37.640%)
Train Epoch: 191, Test set: Average loss: 1.7870, Accuracy: 3782/10000 (37.820%)
Train Epoch: 192, Test set: Average loss: 1.7811, Accuracy: 3767/10000 (37.670%)
Train Epoch: 193, Test set: Average loss: 1.7843, Accuracy: 3755/10000 (37.550%)
Train Epoch: 194, Test set: Average loss: 1.7811, Accuracy: 3757/10000 (37.570%)
Train Epoch: 195, Test set: Average loss: 1.7809, Accuracy: 3766/10000 (37.660%)
Train Epoch: 196, Test set: Average loss: 1.7815, Accuracy: 3766/10000 (37.660%)
Train Epoch: 197, Test set: Average loss: 1.7787, Accuracy: 3755/10000 (37.550%)
Train Epoch: 198, Test set: Average loss: 1.7832, Accuracy: 3758/10000 (37.580%)
Train Epoch: 199, Test set: Average loss: 1.7783, Accuracy: 3755/10000 (37.550%)
Train Epoch: 200, Test set: Average loss: 1.7797, Accuracy: 3757/10000 (37.570%)
