Train Epoch: 1, Test set: Average loss: 2.1416, Accuracy: 1914/10000 (19.140%)
Train Epoch: 2, Test set: Average loss: 2.1262, Accuracy: 1930/10000 (19.300%)
Train Epoch: 3, Test set: Average loss: 2.1301, Accuracy: 1937/10000 (19.370%)
Train Epoch: 4, Test set: Average loss: 2.1187, Accuracy: 1940/10000 (19.400%)
Train Epoch: 5, Test set: Average loss: 2.1146, Accuracy: 1935/10000 (19.350%)
Train Epoch: 6, Test set: Average loss: 2.1194, Accuracy: 1943/10000 (19.430%)
Train Epoch: 7, Test set: Average loss: 1.9902, Accuracy: 2894/10000 (28.940%)
Train Epoch: 8, Test set: Average loss: 1.9597, Accuracy: 2939/10000 (29.390%)
Train Epoch: 9, Test set: Average loss: 1.9522, Accuracy: 2929/10000 (29.290%)
Train Epoch: 10, Test set: Average loss: 1.9520, Accuracy: 2935/10000 (29.350%)
Train Epoch: 11, Test set: Average loss: 1.9446, Accuracy: 2935/10000 (29.350%)
Train Epoch: 12, Test set: Average loss: 1.9460, Accuracy: 2945/10000 (29.450%)
Train Epoch: 13, Test set: Average loss: 1.9572, Accuracy: 2929/10000 (29.290%)
Train Epoch: 14, Test set: Average loss: 1.9663, Accuracy: 2933/10000 (29.330%)
Train Epoch: 15, Test set: Average loss: 1.9433, Accuracy: 2934/10000 (29.340%)
Train Epoch: 16, Test set: Average loss: 1.9399, Accuracy: 2930/10000 (29.300%)
Train Epoch: 17, Test set: Average loss: 1.9307, Accuracy: 2945/10000 (29.450%)
Train Epoch: 18, Test set: Average loss: 1.9408, Accuracy: 2942/10000 (29.420%)
Train Epoch: 19, Test set: Average loss: 1.9316, Accuracy: 2950/10000 (29.500%)
Train Epoch: 20, Test set: Average loss: 1.9308, Accuracy: 2945/10000 (29.450%)
Train Epoch: 21, Test set: Average loss: 1.9295, Accuracy: 2944/10000 (29.440%)
Train Epoch: 22, Test set: Average loss: 1.9331, Accuracy: 2948/10000 (29.480%)
Train Epoch: 23, Test set: Average loss: 1.9402, Accuracy: 2948/10000 (29.480%)
Train Epoch: 24, Test set: Average loss: 1.9237, Accuracy: 2941/10000 (29.410%)
