Train Epoch: 1, Test set: Average loss: 1.2279, Accuracy: 7235/10000 (72.350%)
Train Epoch: 2, Test set: Average loss: 1.1055, Accuracy: 7529/10000 (75.290%)
Train Epoch: 3, Test set: Average loss: 0.9241, Accuracy: 8311/10000 (83.110%)
Train Epoch: 4, Test set: Average loss: 0.8859, Accuracy: 8479/10000 (84.790%)
Train Epoch: 5, Test set: Average loss: 0.8593, Accuracy: 8533/10000 (85.330%)
Train Epoch: 6, Test set: Average loss: 0.8452, Accuracy: 8602/10000 (86.020%)
Train Epoch: 7, Test set: Average loss: 0.8015, Accuracy: 8602/10000 (86.020%)
Train Epoch: 8, Test set: Average loss: 0.8195, Accuracy: 8599/10000 (85.990%)
Train Epoch: 9, Test set: Average loss: 0.7595, Accuracy: 8645/10000 (86.450%)
Train Epoch: 10, Test set: Average loss: 0.7934, Accuracy: 8622/10000 (86.220%)
Train Epoch: 11, Test set: Average loss: 0.7747, Accuracy: 8692/10000 (86.920%)
Train Epoch: 12, Test set: Average loss: 0.7488, Accuracy: 8670/10000 (86.700%)
Train Epoch: 13, Test set: Average loss: 0.7906, Accuracy: 8656/10000 (86.560%)
Train Epoch: 14, Test set: Average loss: 0.7540, Accuracy: 8721/10000 (87.210%)
Train Epoch: 15, Test set: Average loss: 0.7555, Accuracy: 8665/10000 (86.650%)
Train Epoch: 16, Test set: Average loss: 0.7514, Accuracy: 8726/10000 (87.260%)
Train Epoch: 17, Test set: Average loss: 0.7659, Accuracy: 8727/10000 (87.270%)
Train Epoch: 18, Test set: Average loss: 0.7530, Accuracy: 8753/10000 (87.530%)
Train Epoch: 19, Test set: Average loss: 0.7332, Accuracy: 8702/10000 (87.020%)
Train Epoch: 20, Test set: Average loss: 0.7338, Accuracy: 8753/10000 (87.530%)
Train Epoch: 21, Test set: Average loss: 0.7671, Accuracy: 8762/10000 (87.620%)
Train Epoch: 22, Test set: Average loss: 0.7490, Accuracy: 8723/10000 (87.230%)
Train Epoch: 23, Test set: Average loss: 0.7466, Accuracy: 8725/10000 (87.250%)
Train Epoch: 24, Test set: Average loss: 0.7172, Accuracy: 8782/10000 (87.820%)
Train Epoch: 25, Test set: Average loss: 0.7286, Accuracy: 8799/10000 (87.990%)
Train Epoch: 26, Test set: Average loss: 0.7269, Accuracy: 8780/10000 (87.800%)
Train Epoch: 27, Test set: Average loss: 0.7434, Accuracy: 8784/10000 (87.840%)
Train Epoch: 28, Test set: Average loss: 0.7334, Accuracy: 8799/10000 (87.990%)
Train Epoch: 29, Test set: Average loss: 0.7174, Accuracy: 8793/10000 (87.930%)
Train Epoch: 30, Test set: Average loss: 0.7106, Accuracy: 8780/10000 (87.800%)
Train Epoch: 31, Test set: Average loss: 0.7284, Accuracy: 8805/10000 (88.050%)
Train Epoch: 32, Test set: Average loss: 0.7051, Accuracy: 8783/10000 (87.830%)
Train Epoch: 33, Test set: Average loss: 0.7073, Accuracy: 8790/10000 (87.900%)
Train Epoch: 34, Test set: Average loss: 0.7385, Accuracy: 8807/10000 (88.070%)
Train Epoch: 35, Test set: Average loss: 0.7150, Accuracy: 8782/10000 (87.820%)
Train Epoch: 36, Test set: Average loss: 0.7237, Accuracy: 8804/10000 (88.040%)
Train Epoch: 37, Test set: Average loss: 0.7093, Accuracy: 8849/10000 (88.490%)
Train Epoch: 38, Test set: Average loss: 0.7407, Accuracy: 8833/10000 (88.330%)
Train Epoch: 39, Test set: Average loss: 0.7276, Accuracy: 8767/10000 (87.670%)
Train Epoch: 40, Test set: Average loss: 0.7114, Accuracy: 8791/10000 (87.910%)
Train Epoch: 41, Test set: Average loss: 0.7167, Accuracy: 8808/10000 (88.080%)
Train Epoch: 42, Test set: Average loss: 0.7250, Accuracy: 8827/10000 (88.270%)
Train Epoch: 43, Test set: Average loss: 0.6835, Accuracy: 8852/10000 (88.520%)
Train Epoch: 44, Test set: Average loss: 0.7020, Accuracy: 8797/10000 (87.970%)
Train Epoch: 45, Test set: Average loss: 0.6824, Accuracy: 8820/10000 (88.200%)
Train Epoch: 46, Test set: Average loss: 0.7085, Accuracy: 8838/10000 (88.380%)
Train Epoch: 47, Test set: Average loss: 0.6819, Accuracy: 8825/10000 (88.250%)
Train Epoch: 48, Test set: Average loss: 0.6954, Accuracy: 8847/10000 (88.470%)
Train Epoch: 49, Test set: Average loss: 0.6978, Accuracy: 8801/10000 (88.010%)
Train Epoch: 50, Test set: Average loss: 0.7141, Accuracy: 8817/10000 (88.170%)
Train Epoch: 51, Test set: Average loss: 0.6901, Accuracy: 8849/10000 (88.490%)
Train Epoch: 52, Test set: Average loss: 0.6844, Accuracy: 8861/10000 (88.610%)
Train Epoch: 53, Test set: Average loss: 0.6988, Accuracy: 8843/10000 (88.430%)
Train Epoch: 54, Test set: Average loss: 0.7012, Accuracy: 8788/10000 (87.880%)
