Train Epoch: 1, Test set: Average loss: 1.2222, Accuracy: 7663/10000 (76.630%)
Train Epoch: 2, Test set: Average loss: 1.0476, Accuracy: 7973/10000 (79.730%)
Train Epoch: 3, Test set: Average loss: 0.9684, Accuracy: 8078/10000 (80.780%)
Train Epoch: 4, Test set: Average loss: 0.9451, Accuracy: 8115/10000 (81.150%)
Train Epoch: 5, Test set: Average loss: 0.9214, Accuracy: 8169/10000 (81.690%)
Train Epoch: 6, Test set: Average loss: 0.9352, Accuracy: 8181/10000 (81.810%)
Train Epoch: 7, Test set: Average loss: 0.8644, Accuracy: 8173/10000 (81.730%)
Train Epoch: 8, Test set: Average loss: 0.8837, Accuracy: 8245/10000 (82.450%)
Train Epoch: 9, Test set: Average loss: 0.8345, Accuracy: 8272/10000 (82.720%)
Train Epoch: 10, Test set: Average loss: 0.8540, Accuracy: 8282/10000 (82.820%)
Train Epoch: 11, Test set: Average loss: 0.8220, Accuracy: 8292/10000 (82.920%)
Train Epoch: 12, Test set: Average loss: 0.8159, Accuracy: 8316/10000 (83.160%)
Train Epoch: 13, Test set: Average loss: 0.8509, Accuracy: 8263/10000 (82.630%)
Train Epoch: 14, Test set: Average loss: 0.8057, Accuracy: 8327/10000 (83.270%)
Train Epoch: 15, Test set: Average loss: 0.8063, Accuracy: 8318/10000 (83.180%)
Train Epoch: 16, Test set: Average loss: 0.8016, Accuracy: 8344/10000 (83.440%)
Train Epoch: 17, Test set: Average loss: 0.7917, Accuracy: 8354/10000 (83.540%)
Train Epoch: 18, Test set: Average loss: 0.7999, Accuracy: 8352/10000 (83.520%)
Train Epoch: 19, Test set: Average loss: 0.7958, Accuracy: 8365/10000 (83.650%)
Train Epoch: 20, Test set: Average loss: 0.7669, Accuracy: 8361/10000 (83.610%)
Train Epoch: 21, Test set: Average loss: 0.7931, Accuracy: 8370/10000 (83.700%)
Train Epoch: 22, Test set: Average loss: 0.7829, Accuracy: 8387/10000 (83.870%)
Train Epoch: 23, Test set: Average loss: 0.7797, Accuracy: 8354/10000 (83.540%)
Train Epoch: 24, Test set: Average loss: 0.7567, Accuracy: 8383/10000 (83.830%)
Train Epoch: 25, Test set: Average loss: 0.7505, Accuracy: 8410/10000 (84.100%)
Train Epoch: 26, Test set: Average loss: 0.7598, Accuracy: 8370/10000 (83.700%)
Train Epoch: 27, Test set: Average loss: 0.7636, Accuracy: 8418/10000 (84.180%)
Train Epoch: 28, Test set: Average loss: 0.7626, Accuracy: 8427/10000 (84.270%)
Train Epoch: 29, Test set: Average loss: 0.7426, Accuracy: 8421/10000 (84.210%)
Train Epoch: 30, Test set: Average loss: 0.6740, Accuracy: 8881/10000 (88.810%)
Train Epoch: 31, Test set: Average loss: 0.6618, Accuracy: 8898/10000 (88.980%)
Train Epoch: 32, Test set: Average loss: 0.6412, Accuracy: 8907/10000 (89.070%)
Train Epoch: 33, Test set: Average loss: 0.6425, Accuracy: 8912/10000 (89.120%)
Train Epoch: 34, Test set: Average loss: 0.6752, Accuracy: 8939/10000 (89.390%)
