Train Epoch: 1, Test set: Average loss: 2.3026, Accuracy: 1000/10000 (10.000%)
Train Epoch: 2, Test set: Average loss: 2.3026, Accuracy: 1000/10000 (10.000%)
Train Epoch: 3, Test set: Average loss: 2.1613, Accuracy: 1917/10000 (19.170%)
Train Epoch: 4, Test set: Average loss: 2.1330, Accuracy: 1921/10000 (19.210%)
Train Epoch: 5, Test set: Average loss: 2.1247, Accuracy: 1914/10000 (19.140%)
Train Epoch: 6, Test set: Average loss: 2.1302, Accuracy: 1934/10000 (19.340%)
Train Epoch: 7, Test set: Average loss: 2.1302, Accuracy: 1935/10000 (19.350%)
Train Epoch: 8, Test set: Average loss: 2.1275, Accuracy: 1935/10000 (19.350%)
Train Epoch: 9, Test set: Average loss: 2.1191, Accuracy: 1928/10000 (19.280%)
Train Epoch: 10, Test set: Average loss: 2.1267, Accuracy: 1937/10000 (19.370%)
Train Epoch: 11, Test set: Average loss: 2.1228, Accuracy: 1938/10000 (19.380%)
Train Epoch: 12, Test set: Average loss: 2.1273, Accuracy: 1942/10000 (19.420%)
Train Epoch: 13, Test set: Average loss: 2.1178, Accuracy: 1940/10000 (19.400%)
Train Epoch: 14, Test set: Average loss: 2.1235, Accuracy: 1940/10000 (19.400%)
Train Epoch: 15, Test set: Average loss: 2.1207, Accuracy: 1942/10000 (19.420%)
Train Epoch: 16, Test set: Average loss: 2.1092, Accuracy: 1934/10000 (19.340%)
Train Epoch: 17, Test set: Average loss: 2.1178, Accuracy: 1945/10000 (19.450%)
Train Epoch: 18, Test set: Average loss: 2.1102, Accuracy: 1937/10000 (19.370%)
Train Epoch: 19, Test set: Average loss: 2.1191, Accuracy: 1944/10000 (19.440%)
Train Epoch: 20, Test set: Average loss: 2.1213, Accuracy: 1944/10000 (19.440%)
Train Epoch: 21, Test set: Average loss: 2.1124, Accuracy: 1948/10000 (19.480%)
Train Epoch: 22, Test set: Average loss: 2.1202, Accuracy: 1944/10000 (19.440%)
Train Epoch: 23, Test set: Average loss: 2.1219, Accuracy: 1945/10000 (19.450%)
