Train Epoch: 1, Test set: Average loss: 2.1416, Accuracy: 1914/10000 (19.140%)
Train Epoch: 2, Test set: Average loss: 2.1262, Accuracy: 1930/10000 (19.300%)
Train Epoch: 3, Test set: Average loss: 2.1301, Accuracy: 1937/10000 (19.370%)
Train Epoch: 4, Test set: Average loss: 2.1186, Accuracy: 1941/10000 (19.410%)
Train Epoch: 5, Test set: Average loss: 2.1143, Accuracy: 1933/10000 (19.330%)
Train Epoch: 6, Test set: Average loss: 2.1194, Accuracy: 1943/10000 (19.430%)
Train Epoch: 7, Test set: Average loss: 1.9872, Accuracy: 2898/10000 (28.980%)
Train Epoch: 8, Test set: Average loss: 1.9611, Accuracy: 2939/10000 (29.390%)
Train Epoch: 9, Test set: Average loss: 1.9505, Accuracy: 2925/10000 (29.250%)
Train Epoch: 10, Test set: Average loss: 1.9515, Accuracy: 2935/10000 (29.350%)
Train Epoch: 11, Test set: Average loss: 1.9454, Accuracy: 2935/10000 (29.350%)
Train Epoch: 12, Test set: Average loss: 1.9460, Accuracy: 2946/10000 (29.460%)
Train Epoch: 13, Test set: Average loss: 1.9562, Accuracy: 2929/10000 (29.290%)
Train Epoch: 14, Test set: Average loss: 1.9669, Accuracy: 2933/10000 (29.330%)
Train Epoch: 15, Test set: Average loss: 1.9439, Accuracy: 2934/10000 (29.340%)
Train Epoch: 16, Test set: Average loss: 1.9395, Accuracy: 2929/10000 (29.290%)
Train Epoch: 17, Test set: Average loss: 1.9308, Accuracy: 2947/10000 (29.470%)
Train Epoch: 18, Test set: Average loss: 1.9414, Accuracy: 2945/10000 (29.450%)
Train Epoch: 19, Test set: Average loss: 1.9316, Accuracy: 2949/10000 (29.490%)
Train Epoch: 20, Test set: Average loss: 1.9306, Accuracy: 2946/10000 (29.460%)
Train Epoch: 21, Test set: Average loss: 1.9300, Accuracy: 2946/10000 (29.460%)
Train Epoch: 22, Test set: Average loss: 1.9366, Accuracy: 2944/10000 (29.440%)
Train Epoch: 23, Test set: Average loss: 1.9410, Accuracy: 2946/10000 (29.460%)
Train Epoch: 24, Test set: Average loss: 1.9215, Accuracy: 2942/10000 (29.420%)
