Train Epoch: 1, Test set: Average loss: 2.1416, Accuracy: 1914/10000 (19.140%)
Train Epoch: 2, Test set: Average loss: 2.1262, Accuracy: 1930/10000 (19.300%)
Train Epoch: 3, Test set: Average loss: 2.1301, Accuracy: 1937/10000 (19.370%)
Train Epoch: 4, Test set: Average loss: 2.1190, Accuracy: 1942/10000 (19.420%)
Train Epoch: 5, Test set: Average loss: 2.1146, Accuracy: 1935/10000 (19.350%)
Train Epoch: 6, Test set: Average loss: 2.1192, Accuracy: 1943/10000 (19.430%)
Train Epoch: 7, Test set: Average loss: 1.9791, Accuracy: 2921/10000 (29.210%)
Train Epoch: 8, Test set: Average loss: 1.9601, Accuracy: 2939/10000 (29.390%)
Train Epoch: 9, Test set: Average loss: 1.9542, Accuracy: 2928/10000 (29.280%)
Train Epoch: 10, Test set: Average loss: 1.9522, Accuracy: 2934/10000 (29.340%)
Train Epoch: 11, Test set: Average loss: 1.9460, Accuracy: 2936/10000 (29.360%)
Train Epoch: 12, Test set: Average loss: 1.9456, Accuracy: 2944/10000 (29.440%)
Train Epoch: 13, Test set: Average loss: 1.9568, Accuracy: 2928/10000 (29.280%)
Train Epoch: 14, Test set: Average loss: 1.9662, Accuracy: 2934/10000 (29.340%)
Train Epoch: 15, Test set: Average loss: 1.9436, Accuracy: 2934/10000 (29.340%)
Train Epoch: 16, Test set: Average loss: 1.9407, Accuracy: 2932/10000 (29.320%)
Train Epoch: 17, Test set: Average loss: 1.9306, Accuracy: 2947/10000 (29.470%)
Train Epoch: 18, Test set: Average loss: 1.9420, Accuracy: 2944/10000 (29.440%)
Train Epoch: 19, Test set: Average loss: 1.9314, Accuracy: 2950/10000 (29.500%)
Train Epoch: 20, Test set: Average loss: 1.9304, Accuracy: 2945/10000 (29.450%)
Train Epoch: 21, Test set: Average loss: 1.9302, Accuracy: 2946/10000 (29.460%)
Train Epoch: 22, Test set: Average loss: 1.9346, Accuracy: 2945/10000 (29.450%)
Train Epoch: 23, Test set: Average loss: 1.9399, Accuracy: 2947/10000 (29.470%)
Train Epoch: 24, Test set: Average loss: 1.9213, Accuracy: 2939/10000 (29.390%)
